true_class,pred_class,calibrated_confidence,correct
Aloevera,Aloevera,0.9992,1
Aloevera,Aloevera,0.9974,1
Aloevera,Aloevera,0.9999,1
Aloevera,Aloevera,1.0,1
Aloevera,Aloevera,0.9997,1
Aloevera,Aloevera,1.0,1
Aloevera,Aloevera,0.9999,1
Aloevera,Aloevera,1.0,1
Aloevera,Aloevera,0.9991,1
Aloevera,Aloevera,0.9998,1
Aloevera,Aloevera,0.9998,1
Aloevera,Aloevera,1.0,1
Aloevera,Aloevera,0.9932,1
Aloevera,Aloevera,1.0,1
Aloevera,Aloevera,1.0,1
Aloevera,Aloevera,1.0,1
Aloevera,Aloevera,1.0,1
Aloevera,Aloevera,0.9998,1
Aloevera,Aloevera,0.9999,1
Aloevera,Aloevera,0.9999,1
Aloevera,Aloevera,0.9998,1
Aloevera,Aloevera,0.9999,1
Aloevera,Aloevera,1.0,1
Aloevera,Aloevera,0.9999,1
Aloevera,Aloevera,0.9998,1
Aloevera,Aloevera,0.9997,1
Amla,Amla,0.9992,1
Amla,Amla,0.992,1
Amla,Amla,0.9855,1
Amla,Doddapatre,0.9217,0
Amla,Amla,0.8594,1
Amla,Amla,0.7255,1
Amla,Amla,0.9605,1
Amla,Amla,0.9983,1
Amla,Amla,0.6093,1
Amla,Castor,0.5746,0
Amla,Amla,0.9938,1
Amla,Amla,0.8839,1
Amla,Amla,0.9907,1
Amla,Amla,0.9864,1
Amla,Amla,0.8817,1
Amla,Amla,0.9977,1
Amla,Amla,0.898,1
Amla,Gauva,0.8722,0
Amla,Amla,0.4695,1
Amla,Amla,0.8109,1
Amla,Amla,0.995,1
Amla,Amla,0.9495,1
Amla,Amla,0.9891,1
Ashoka,Ashoka,0.9985,1
Ashoka,Ashoka,0.982,1
Ashoka,Ashoka,0.9863,1
Ashoka,Ashoka,0.9986,1
Ashoka,Ashoka,0.9984,1
Ashoka,Ashoka,0.9961,1
Ashoka,Ashoka,0.9769,1
Ashoka,Ashoka,0.7778,1
Ashoka,Ashoka,0.9979,1
Ashoka,Ashoka,0.998,1
Ashoka,Ashoka,0.9974,1
Ashoka,Ashoka,0.9997,1
Ashoka,Ashoka,0.9843,1
Ashoka,Ashoka,0.9985,1
Ashoka,Ashoka,0.9463,1
Ashoka,Ashoka,0.9996,1
Ashoka,Ashoka,0.9509,1
Ashoka,Ashoka,0.9999,1
Ashoka,Ashoka,0.9888,1
Ashoka,Ashoka,0.9994,1
Ashoka,Ashoka,0.9992,1
Ashoka,Ashoka,0.9847,1
Ashoka,Ashoka,0.9801,1
Ashoka,Ashoka,0.9979,1
Ashoka,Ashoka,0.9564,1
Ashoka,Ashoka,0.9942,1
Ashoka,Ashoka,0.8258,1
Ashoka,Ashoka,0.987,1
Ashoka,Ashoka,0.8947,1
Ashoka,Ashoka,0.4982,1
Ashoka,Ashoka,0.9972,1
Ashoka,Ashoka,0.9979,1
Ashoka,Ashoka,0.9963,1
Ashoka,Ashoka,0.9297,1
Ashoka,Ashoka,0.9965,1
Ashoka,Ashoka,0.9675,1
Ashoka,Ashoka,0.9989,1
Ashoka,Ashoka,0.9843,1
Ashwagandha,Ashwagandha,0.9158,1
Ashwagandha,Ashwagandha,0.9998,1
Ashwagandha,Ashwagandha,0.9955,1
Ashwagandha,Ashwagandha,0.9972,1
Ashwagandha,Ashwagandha,0.9885,1
Ashwagandha,Ashwagandha,0.9997,1
Ashwagandha,Ashwagandha,0.9978,1
Ashwagandha,Ashwagandha,0.9243,1
Ashwagandha,Ashwagandha,0.9831,1
Ashwagandha,Ashwagandha,0.9641,1
Ashwagandha,Ashwagandha,0.9457,1
Ashwagandha,Ashwagandha,0.9999,1
Ashwagandha,Ashwagandha,0.9998,1
Ashwagandha,Ashwagandha,0.8475,1
Ashwagandha,Ashwagandha,0.9933,1
Ashwagandha,Ashwagandha,0.8815,1
Ashwagandha,Ashwagandha,1.0,1
Ashwagandha,Ashwagandha,0.9715,1
Ashwagandha,Ashwagandha,0.9989,1
Ashwagandha,Ashwagandha,0.9961,1
Ashwagandha,Ashwagandha,0.9885,1
Betel,Betel,0.9488,1
Betel,Betel,0.9679,1
Betel,Betel,0.8609,1
Betel,Betel,0.9906,1
Betel,Betel,0.9657,1
Betel,Pepper,0.2966,0
Betel,Betel,0.567,1
Betel,Betel,0.9574,1
Betel,Betel,0.9036,1
Betel,Betel,0.9993,1
Betel,Pepper,0.7615,0
Betel,Betel,0.9705,1
Betel,Betel,0.898,1
Betel,Pepper,0.5958,0
Betel,Betel,0.4305,1
Betel,Betel,0.6995,1
Betel,Betel,0.9627,1
Betel,Betel,0.9918,1
Betel,Betel,0.704,1
Betel,Betel,0.9812,1
Betel,Betel,0.9238,1
Betel,Aloevera,0.47,0
Betel,Betel,0.9814,1
Betel,Betel,0.9573,1
Brahmi,Brahmi,0.9849,1
Brahmi,Brahmi,0.9908,1
Brahmi,Betel,0.3973,0
Brahmi,Brahmi,0.9394,1
Brahmi,Brahmi,0.9929,1
Brahmi,Brahmi,0.9875,1
Brahmi,Brahmi,0.932,1
Brahmi,Brahmi,0.9962,1
Brahmi,Brahmi,0.9068,1
Brahmi,Rose,0.7551,0
Brahmi,Brahmi,0.8132,1
Brahmi,Brahmi,0.8675,1
Brahmi,Brahmi,0.9556,1
Brahmi,Brahmi,0.9903,1
Brahmi,Brahmi,0.9436,1
Brahmi,Brahmi,0.5454,1
Brahmi,Brahmi,0.9847,1
Brahmi,Brahmi,0.9311,1
Brahmi,Brahmi,0.9681,1
Brahmi,Raktachandini,0.5416,0
Brahmi,Brahmi,0.9854,1
Brahmi,Brahmi,0.9962,1
Brahmi,Brahmi,0.9854,1
Castor,Castor,0.902,1
Castor,Castor,0.9998,1
Castor,Castor,0.9439,1
Castor,Castor,0.9983,1
Castor,Castor,0.9977,1
Castor,Castor,1.0,1
Castor,Castor,0.9985,1
Castor,Castor,0.9803,1
Castor,Castor,0.9967,1
Castor,Castor,0.8844,1
Castor,Castor,0.8354,1
Castor,Castor,0.9851,1
Castor,Castor,1.0,1
Castor,Castor,0.9994,1
Castor,Castor,0.5151,1
Castor,Castor,0.9983,1
Castor,Castor,0.4066,1
Castor,Castor,0.9994,1
Castor,Castor,0.9981,1
Castor,Castor,0.9999,1
Castor,Castor,0.8032,1
Castor,Castor,0.9987,1
Castor,Castor,0.9989,1
Castor,Castor,0.9997,1
Curry_Leaf,Curry_Leaf,0.9887,1
Curry_Leaf,Curry_Leaf,0.8063,1
Curry_Leaf,Curry_Leaf,0.9668,1
Curry_Leaf,Curry_Leaf,0.9689,1
Curry_Leaf,Tulasi,0.61,0
Curry_Leaf,Curry_Leaf,0.7126,1
Curry_Leaf,Curry_Leaf,0.9631,1
Curry_Leaf,Curry_Leaf,0.9983,1
Curry_Leaf,Curry_Leaf,0.596,1
Curry_Leaf,Wood_sorel,0.4236,0
Curry_Leaf,Castor,0.9587,0
Curry_Leaf,Curry_Leaf,0.9975,1
Curry_Leaf,Curry_Leaf,0.9933,1
Curry_Leaf,Curry_Leaf,0.9728,1
Curry_Leaf,Curry_Leaf,0.9437,1
Curry_Leaf,Wood_sorel,0.9612,0
Curry_Leaf,Curry_Leaf,0.9841,1
Curry_Leaf,Amla,0.8685,0
Curry_Leaf,Curry_Leaf,0.5505,1
Curry_Leaf,Curry_Leaf,0.926,1
Curry_Leaf,Curry_Leaf,0.9989,1
Curry_Leaf,Curry_Leaf,0.8385,1
Curry_Leaf,Curry_Leaf,0.9993,1
Curry_Leaf,Curry_Leaf,0.9984,1
Curry_Leaf,Curry_Leaf,0.9958,1
Curry_Leaf,Curry_Leaf,0.9954,1
Curry_Leaf,Curry_Leaf,0.9908,1
Curry_Leaf,Curry_Leaf,0.999,1
Curry_Leaf,Curry_Leaf,0.998,1
Curry_Leaf,Curry_Leaf,0.9992,1
Curry_Leaf,Curry_Leaf,0.9997,1
Curry_Leaf,Curry_Leaf,0.9994,1
Curry_Leaf,Curry_Leaf,0.9998,1
Curry_Leaf,Curry_Leaf,0.9658,1
Curry_Leaf,Curry_Leaf,0.9648,1
Curry_Leaf,Curry_Leaf,0.9999,1
Curry_Leaf,Curry_Leaf,0.981,1
Curry_Leaf,Curry_Leaf,0.9707,1
Doddapatre,Doddapatre,0.9692,1
Doddapatre,Doddapatre,0.9995,1
