true_class,pred_class,calibrated_confidence,correct
Aloevera,Aloevera,0.9999,1
Aloevera,Aloevera,0.9144,1
Aloevera,Aloevera,0.9999,1
Aloevera,Aloevera,1.0,1
Aloevera,Aloevera,0.9986,1
Aloevera,Aloevera,1.0,1
Aloevera,Aloevera,1.0,1
Aloevera,Aloevera,0.9999,1
Aloevera,Aloevera,0.9922,1
Aloevera,Aloevera,0.999,1
Aloevera,Aloevera,0.9999,1
Aloevera,Aloevera,0.9996,1
Aloevera,Lemon_grass,0.8217,0
Aloevera,Aloevera,0.9943,1
Aloevera,Aloevera,0.9997,1
Aloevera,Aloevera,0.9996,1
Aloevera,Aloevera,0.9999,1
Aloevera,Aloevera,0.9893,1
Aloevera,Aloevera,0.9997,1
Aloevera,Aloevera,0.991,1
Aloevera,Aloevera,0.9604,1
Aloevera,Aloevera,0.9992,1
Aloevera,Aloevera,0.9998,1
Aloevera,Aloevera,0.9998,1
Aloevera,Aloevera,0.9993,1
Aloevera,Aloevera,1.0,1
Amla,Amla,0.9987,1
Amla,Amla,0.9997,1
Amla,Amla,0.933,1
Amla,Amla,0.8153,1
Amla,Amla,0.9995,1
Amla,Amla,0.9999,1
Amla,Amla,0.9,1
Amla,Amla,0.9997,1
Amla,Amla,0.9963,1
Amla,Curry_Leaf,0.6365,0
Amla,Amla,0.9999,1
Amla,Amla,0.9362,1
Amla,Amla,0.9999,1
Amla,Amla,0.9994,1
Amla,Amla,0.9988,1
Amla,Amla,0.9068,1
Amla,Amla,0.9989,1
Amla,Amla,0.9757,1
Amla,Amla,0.6332,1
Amla,Amla,0.9909,1
Amla,Amla,0.9943,1
Amla,Amla,0.8881,1
Amla,Amla,0.9839,1
Amruta_Balli,Amruta_Balli,0.5955,1
Amruta_Balli,Basale,0.9111,0
Amruta_Balli,Basale,0.2255,0
Amruta_Balli,Amruta_Balli,0.9737,1
Amruta_Balli,Amruta_Balli,0.2976,1
Amruta_Balli,Geranium,0.839,0
Amruta_Balli,Amruta_Balli,0.9992,1
Amruta_Balli,Amruta_Balli,0.8079,1
Amruta_Balli,Amruta_Balli,0.8573,1
Amruta_Balli,Amruta_Balli,0.908,1
Amruta_Balli,Amruta_Balli,0.9766,1
Amruta_Balli,Betel,0.4321,0
Amruta_Balli,Amruta_Balli,0.9035,1
Amruta_Balli,Lemon,0.9516,0
Amruta_Balli,Betel,0.6405,0
Amruta_Balli,Pepper,0.856,0
Amruta_Balli,Geranium,0.5159,0
Amruta_Balli,Betel,0.2049,0
Amruta_Balli,Geranium,0.8203,0
Amruta_Balli,Geranium,0.5158,0
Amruta_Balli,Amruta_Balli,0.8541,1
Amruta_Balli,Raktachandini,0.3743,0
Arali,Arali,1.0,1
Arali,Arali,0.9987,1
Arali,Arali,1.0,1
Arali,Arali,1.0,1
Arali,Arali,1.0,1
Arali,Arali,1.0,1
Arali,Arali,1.0,1
Arali,Arali,1.0,1
Arali,Arali,0.9982,1
Arali,Arali,1.0,1
Arali,Arali,1.0,1
Arali,Arali,1.0,1
Arali,Arali,0.9999,1
Arali,Arali,0.5213,1
Arali,Arali,1.0,1
Arali,Arali,1.0,1
Arali,Arali,1.0,1
Arali,Arali,0.999,1
Arali,Arali,1.0,1
Arali,Arali,0.9974,1
Arali,Arali,0.9993,1
Arali,Arali,1.0,1
Arali,Arali,1.0,1
Ashoka,Ashoka,0.8276,1
Ashoka,Ashoka,1.0,1
Ashoka,Ashoka,0.9886,1
Ashoka,Ashoka,0.9965,1
Ashoka,Ashoka,0.9991,1
Ashoka,Ashoka,0.7132,1
Ashoka,Ashoka,0.7282,1
Ashoka,Ashoka,1.0,1
Ashoka,Ashoka,0.9999,1
Ashoka,Ashoka,0.9997,1
Ashoka,Ashoka,1.0,1
Ashoka,Ashoka,1.0,1
Ashoka,Ashoka,0.8937,1
Ashoka,Ashoka,1.0,1
Ashoka,Ashoka,0.9868,1
Ashoka,Ashoka,0.999,1
Ashoka,Ashoka,0.9985,1
Ashoka,Ashwagandha,0.5477,0
Ashoka,Ashoka,0.9994,1
Ashoka,Ashoka,0.9999,1
Ashoka,Ashoka,0.993,1
Ashoka,Ashoka,0.9987,1
Ashoka,Ashoka,0.9853,1
Ashoka,Ashoka,0.9992,1
Ashoka,Ashoka,0.9893,1
Ashoka,Ashoka,0.9949,1
Ashoka,Ashoka,0.9784,1
Ashoka,Ashoka,0.9983,1
Ashoka,Ashoka,0.9587,1
Ashoka,Ashoka,0.9851,1
Ashoka,Ashoka,0.9954,1
Ashoka,Ashoka,0.9928,1
Ashoka,Ashoka,0.8815,1
Ashoka,Ashoka,0.9803,1
Ashoka,Ashoka,0.998,1
Ashoka,Ashoka,0.9992,1
Ashoka,Ashoka,0.9884,1
Ashoka,Sapota,0.5311,0
Ashwagandha,Ashwagandha,0.9868,1
Ashwagandha,Ashwagandha,0.996,1
Ashwagandha,Ashwagandha,0.9982,1
Ashwagandha,Ashwagandha,0.9261,1
Ashwagandha,Ashwagandha,0.963,1
Ashwagandha,Ashwagandha,0.9688,1
Ashwagandha,Ashwagandha,0.8779,1
Ashwagandha,Ashwagandha,0.9996,1
Ashwagandha,Ashwagandha,0.9439,1
Ashwagandha,Ashwagandha,0.9999,1
Ashwagandha,Ashwagandha,1.0,1
Ashwagandha,Ashwagandha,0.9956,1
Ashwagandha,Ashwagandha,0.9979,1
Ashwagandha,Ashwagandha,0.9995,1
Ashwagandha,Ashwagandha,0.9551,1
Ashwagandha,Ashwagandha,0.9991,1
Ashwagandha,Ashwagandha,1.0,1
Ashwagandha,Ashwagandha,0.9996,1
Ashwagandha,Ashwagandha,0.9997,1
Ashwagandha,Ashwagandha,0.9993,1
Ashwagandha,Ashwagandha,0.9999,1
Avacado,Avacado,0.9485,1
Avacado,Avacado,0.9908,1
Avacado,Avacado,0.9995,1
Avacado,Avacado,0.9419,1
Avacado,Avacado,0.5671,1
Avacado,Avacado,0.9803,1
Avacado,Avacado,0.9583,1
Avacado,Avacado,0.9996,1
Avacado,Avacado,0.9979,1
Avacado,Avacado,0.5609,1
Avacado,Avacado,0.8905,1
Avacado,Avacado,0.9296,1
Avacado,Avacado,0.9993,1
Avacado,Avacado,0.9996,1
Avacado,Avacado,0.9842,1
Avacado,Lemon,0.6907,0
Avacado,Avacado,0.998,1
Avacado,Avacado,0.9792,1
Avacado,Avacado,0.9467,1
Avacado,Avacado,0.9997,1
Avacado,Henna,0.4825,0
Avacado,Avacado,0.9998,1
Avacado,Avacado,0.9255,1
Bamboo,Bamboo,0.9075,1
Bamboo,Bamboo,0.9972,1
Bamboo,Betel_Nut,0.6487,0
Bamboo,Bamboo,0.9997,1
Bamboo,Bamboo,0.9993,1
Bamboo,Bamboo,0.9905,1
Bamboo,Bamboo,0.9998,1
Bamboo,Bamboo,0.9992,1
Bamboo,Bamboo,0.8739,1
Bamboo,Bamboo,0.9929,1
Bamboo,Bamboo,0.9879,1
Bamboo,Bamboo,1.0,1
Bamboo,Bamboo,0.9767,1
Bamboo,Mango,0.8653,0
Bamboo,Bamboo,0.9907,1
Bamboo,Bamboo,1.0,1
Bamboo,Bamboo,0.9959,1
Bamboo,Bamboo,0.9767,1
Bamboo,Bamboo,0.8799,1
Bamboo,Bamboo,0.9923,1
Bamboo,Bamboo,0.9347,1
Bamboo,Bamboo,0.9999,1
