class,mobilenetv2_precision,efficientnetb0_precision,mobilenetv2_recall,efficientnetb0_recall,mobilenetv2_f1,efficientnetb0_f1,mobilenetv2_accuracy,efficientnetb0_accuracy
Aloevera,0.9615,0.9615,0.9615,0.9615,0.3939,1.0,0.5652,1.0
Amla,1.0,0.9565,0.9778,0.9565,1.0,0.8696,0.9302,0.8696
Amruta_Balli,0.8333,0.4545,0.5882,0.4545,0.0,0.0,0.0,0.0
Arali,1.0,1.0,1.0,1.0,0.0286,0.0435,0.0345,0.0435
Ashoka,0.9474,0.9474,0.9474,0.9474,0.0,0.0,0.0,0.0
Ashwagandha,0.913,1.0,0.9545,1.0,0.0,0.0,0.0,0.0
Avacado,0.7241,0.913,0.8077,0.913,0.0,0.0,0.0,0.0
Bamboo,0.9545,0.913,0.9333,0.913,0.0,0.0,0.0,0.0
Basale,0.7778,0.913,0.84,0.913,0.0,0.0,0.0,0.0
Betel,0.8077,0.875,0.84,0.875,0.0,0.0,0.0,0.0
Betel_Nut,0.9565,0.9565,0.9565,0.9565,0.0,0.0,0.0,0.0
Brahmi,1.0,0.8261,0.9048,0.8261,0.0,0.0,0.0,0.0
Castor,0.8519,0.9583,0.902,0.9583,0.0,0.0,0.0,0.0
Curry_Leaf,0.9474,0.9474,0.9474,0.9474,0.0,0.0,0.0,0.0
Doddapatre,0.8214,1.0,0.902,1.0,0.0,0.0,0.0,0.0
Ekka,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Ganike,0.6667,1.0,0.8,1.0,0.0,0.0,0.0,0.0
Gauva,0.88,0.9565,0.9167,0.9565,0.0,0.0,0.0,0.0
Geranium,0.76,0.8261,0.7917,0.8261,0.0,0.0,0.0,0.0
Henna,0.7812,0.6579,0.7143,0.6579,0.0,0.0,0.0,0.0
Hibiscus,0.9444,0.8293,0.8831,0.8293,0.0,0.0,0.0,0.0
Honge,1.0,0.8696,0.9302,0.8696,0.0,0.0,0.0,0.0
Insulin,1.0,0.9524,0.9756,0.9524,0.0,0.0,0.0,0.0
Jasmine,0.9231,0.8276,0.8727,0.8276,0.0,0.0,0.0,0.0
Lemon,0.8043,0.9737,0.881,0.9737,0.0,0.0,0.0,0.0
Lemon_grass,0.9565,1.0,0.9778,1.0,0.0,0.0,0.0,0.0
Mango,0.7407,0.8696,0.8,0.8696,0.0,0.0,0.0,0.0
Mint,1.0,0.8462,0.9167,0.8462,0.0,0.0,0.0,0.0
Nagadali,1.0,0.6087,0.7568,0.6087,0.0,0.0,0.0,0.0
Neem,1.0,0.8421,0.9143,0.8421,0.0,0.0,0.0,0.0
Nithyapushpa,0.875,0.913,0.8936,0.913,0.0,0.0,0.0,0.0
Nooni,0.7241,1.0,0.84,1.0,0.0,0.0,0.0,0.0
Pappaya,0.92,1.0,0.9583,1.0,0.0,0.0,0.0,0.0
Pepper,0.9545,0.9545,0.9545,0.9545,0.0,0.0,0.0,0.0
Pomegranate,1.0,0.9545,0.9767,0.9545,0.0,0.0,0.0,0.0
Raktachandini,0.8214,1.0,0.902,1.0,0.0,0.0,0.0,0.0
Rose,0.8846,0.8846,0.8846,0.8846,0.0,0.0,0.0,0.0
Sapota,0.9722,0.9211,0.9459,0.9211,0.0,0.0,0.0,0.0
Tulasi,0.9688,0.8158,0.8857,0.8158,0.0,0.0,0.0,0.0
Wood_sorel,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
