true_class,Aloevera,Amla,Ashoka,Ashwagandha,Betel,Brahmi,Castor,Curry_Leaf,Doddapatre,Gauva,Geranium,Henna,Hibiscus,Honge,Insulin,Jasmine,Lemon,Lemon_grass,Mango,Mint,Nagadali,Neem,Pappaya,Pepper,Pomegranate,Raktachandini,Rose,Sapota,Tulasi,Wood_sorel
Aloevera,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amla,0,20,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashoka,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashwagandha,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Betel,1,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Brahmi,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Castor,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curry_Leaf,0,1,0,0,0,0,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
Doddapatre,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gauva,0,0,0,1,0,0,0,0,0,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Geranium,0,0,0,0,0,0,1,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Henna,0,0,0,0,0,0,1,1,2,0,1,25,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,1,2,0
Hibiscus,0,0,0,3,0,0,0,0,0,0,0,0,28,0,0,0,2,0,0,0,0,0,5,0,0,0,1,2,0,0
Honge,0,0,0,0,2,0,0,0,0,1,0,2,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Insulin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jasmine,0,0,0,0,2,1,0,0,0,0,0,0,3,0,0,18,2,0,1,0,0,0,0,1,0,1,0,0,0,0
Lemon,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,2,0
Lemon_grass,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0
Mango,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,17,0,0,0,0,1,0,0,0,0,0,0
Mint,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0
Nagadali,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,16,0,1,0,0,0,0,0,0,0
Neem,2,0,5,0,0,1,1,1,1,3,0,0,0,0,0,0,0,0,5,0,0,19,0,0,0,0,0,0,0,0
Pappaya,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,1,0,0,0,0,0,0
Pepper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0
Pomegranate,1,0,1,0,0,1,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,14,0,0,0,0,0
Raktachandini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22,0,0,0,0
Rose,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,17,0,3,0
Sapota,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
Tulasi,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,30,1
Wood_sorel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
