class,f1
Aloevera,0.5652
Amla,0.9302
Amruta_Balli,0.0
Arali,0.0345
Ashoka,0.0
Ashwagandha,0.0
Avacado,0.0
Bamboo,0.0
Basale,0.0
Betel,0.0
Betel_Nut,0.0
Brahmi,0.0
Castor,0.0
Curry_Leaf,0.0
Doddapatre,0.0
Ekka,0.0
Ganike,0.0
Gauva,0.0
Geranium,0.0
Henna,0.0
Hibiscus,0.0
Honge,0.0
Insulin,0.0
Jasmine,0.0
Lemon,0.0
Lemon_grass,0.0
Mango,0.0
Mint,0.0
Nagadali,0.0
Neem,0.0
Nithyapushpa,0.0
Nooni,0.0
Pappaya,0.0
Pepper,0.0
Pomegranate,0.0
Raktachandini,0.0
Rose,0.0
Sapota,0.0
Tulasi,0.0
Wood_sorel,0.0
