class,f1
Aloevera,0.9615
Amla,0.9778
Amruta_Balli,0.5882
Arali,1.0
Ashoka,0.9474
Ashwagandha,0.9545
Avacado,0.8077
Bamboo,0.9333
Basale,0.84
Betel,0.84
Betel_Nut,0.9565
Brahmi,0.9048
Castor,0.902
Curry_Leaf,0.9474
Doddapatre,0.902
Ekka,1.0
Ganike,0.8
Gauva,0.9167
Geranium,0.7917
Henna,0.7143
Hibiscus,0.8831
Honge,0.9302
Insulin,0.9756
Jasmine,0.8727
Lemon,0.881
Lemon_grass,0.9778
Mango,0.8
Mint,0.9167
Nagadali,0.7568
Neem,0.9143
Nithyapushpa,0.8936
Nooni,0.84
Pappaya,0.9583
Pepper,0.9545
Pomegranate,0.9767
Raktachandini,0.902
Rose,0.8846
Sapota,0.9459
Tulasi,0.8857
Wood_sorel,1.0
